,RLbC1,RLbC2,RLbC3,RLbC4,RLbC5,RLbC6,RXsC1,RXsC2,RXsC3,RXsC4,RXsC5,RXsC6
unassigned,11473,15461,11677,8029,5876,2396,22926,19462,16217,19577,24563,18691
Sideroxydans,8584,10523,3364,1678,425,153,13424,11061,11562,4461,5170,10419
Desulfopila,2812,8069,923,777,1654,2310,3986,3299,3401,5706,4806,2883
Rhizobium,691,372,641,1719,2066,439,1173,1089,20141,1372,3505,905
Geothrix,2254,4647,524,454,393,310,4614,4449,4580,2391,1992,4179
Acinetobacter,36,42,27,120,57,299,3115,2449,18311,1385,2418,1999
Geobacter,2841,3171,872,704,2621,2577,2931,2824,1039,2600,4590,2526
Desulfovibrio,1567,951,390,755,2553,2772,1000,978,334,3210,3127,918
Syntrophobacter,2308,3938,109,141,111,170,2833,2287,3122,459,378,2190
Kineococcus,2090,1835,293,1752,834,221,1447,1452,1067,1835,2233,1448
Piscinibacter,133,194,87,1276,439,221,3225,2554,709,1291,3160,2579
Rhodanobacter,360,205,30,41,25,2,770,743,8244,314,255,775
Desulfosporosinus,2058,4583,129,182,66,131,729,619,328,421,226,603
Pleomorphomonas,266,411,150,253,2361,570,525,478,80,1577,2522,399
Chryseobacterium,31,10,17,48,13,34,241,188,8369,174,145,159
Cellulomonas,314,523,101,96,83,39,1066,921,1021,854,1342,1028
Devosia,240,157,113,695,352,54,1277,1300,1135,189,416,1294
Pseudolabrys,192,198,240,286,186,101,1347,1326,743,527,678,1299
Actinospica,175,51,13,50,6,0,368,389,4731,141,160,306
Desulfitobacterium,487,1751,111,102,58,107,686,595,290,131,117,578
Ktedonobacter,4,1,1,28,3,0,1176,932,1872,37,59,608
Dechloromonas,16,21,7,22,41,18,1512,1169,633,111,106,955
Streptomyces,27,7,57,216,96,31,430,392,1530,606,397,365
Ferritrophicum,137,39,10,20,8,1,866,609,1222,42,77,561
Bradyrhizobium,195,154,176,231,120,38,621,577,430,270,175,544
Pseudomonas,176,42,47,68,152,4,138,168,2176,89,187,151
Shinella,92,112,75,221,216,99,590,579,273,200,176,515
Lysinimonas,64,43,24,38,19,5,792,612,549,92,107,576
Desulfocapsa,289,204,129,150,231,571,308,268,115,114,261,221
Gemmatimonas,35,37,22,194,104,13,543,606,373,71,142,571
Gaiella,26,23,28,19,60,5,470,532,540,122,160,716
Asticcacaulis,34,31,13,146,47,11,474,467,649,160,145,422
Gemmobacter,342,132,104,203,111,37,279,259,332,134,383,233
Flavisolibacter,37,89,20,149,71,29,514,466,148,92,131,279
Hydrogenophaga,48,59,71,144,305,104,279,252,200,107,214,215
Simplicispira,27,6,15,53,54,33,509,360,166,32,31,392
Phenylobacterium,44,33,3,15,21,3,232,235,315,132,197,253
Thiomonas,19,55,9,2,1,0,76,52,1077,70,40,58
Rhodoferax,76,141,68,74,213,170,108,65,28,97,284,68
Haliangium,36,36,70,56,223,319,142,148,45,67,94,148
Novosphingobium,11,3,4,69,56,21,233,276,168,94,157,291
Thiobacillus,22,36,6,5,13,2,174,105,42,329,530,118
Nitrosospira,57,39,8,17,39,11,349,239,250,41,54,263
Nocardioides,99,13,9,10,26,4,177,109,60,117,572,120
Deinococcus,9,1,2,1,46,4,22,30,25,60,1056,18
Pantoea,4,5,1,11,22,1,110,112,851,19,34,75
Sphingobium,6,5,7,20,35,5,335,252,66,41,51,288
Caulobacter,14,24,12,96,198,24,107,98,271,78,82,91
Propionivibrio,64,80,54,51,185,130,56,56,17,114,234,28
Spirochaeta,18,101,6,54,12,4,189,195,49,64,129,159
Acidovorax,6,5,1,4,10,3,22,22,677,28,80,10
Azospirillum,36,46,142,57,182,82,51,63,35,28,54,69
Pelobacter,84,125,21,19,6,7,115,103,80,80,86,87
Anaeromyxobacter,64,95,25,47,42,26,97,82,40,75,108,82
Aggregicoccus,15,20,16,35,79,46,131,112,20,80,90,130
Exiguobacterium,16,6,6,9,49,8,59,37,502,11,19,46
Ignavibacterium,27,55,13,3,18,4,147,154,88,41,83,133
Arthrobacter,10,9,26,15,13,4,181,143,100,73,48,128
Beutenbergia,42,22,33,59,38,7,137,104,69,28,93,104
Chondromyces,0,3,2,27,4,0,344,122,34,34,38,99
Ferruginibacter,6,6,4,44,8,4,118,90,211,20,98,67
Holophaga,85,51,43,45,75,58,65,56,11,25,69,54
Desulfoprunum,57,29,30,41,84,77,63,53,18,38,81,40
Azoarcus,12,25,5,15,20,6,24,12,32,332,104,21
Legionella,8,3,2,1,5,1,158,121,84,30,33,131
Rhodococcus,45,20,11,13,4,16,131,95,73,33,48,78
Vogesella,11,6,32,5,18,22,177,128,53,3,1,111
Rudaea,5,16,7,13,7,5,141,105,61,16,40,130
Dongia,6,2,14,24,25,5,157,121,27,8,17,139
Sulfuriferula,13,40,10,1,6,2,138,105,48,16,28,101
Delftia,2,15,11,18,4,0,88,132,108,14,28,84
Mesorhizobium,27,12,8,20,15,4,120,99,52,20,43,78
Roseiarcus,18,10,8,8,4,1,103,74,77,64,25,86
Acidisoma,4,3,7,2,5,1,85,112,82,26,21,118
Clostridium_III,0,2,1,0,0,1,167,138,4,4,5,129
Aeromonas,3,1,5,4,12,11,28,48,219,20,48,38
Terrimonas,4,1,1,29,10,2,107,107,19,16,24,81
Armatimonas/Armatimonadetes_gp1,10,4,4,6,1,5,56,56,186,18,10,44
Sphingomonas,28,7,4,12,4,3,94,77,46,15,18,74
Demequina,8,25,19,13,25,14,73,62,20,27,18,65
Burkholderia,8,13,4,9,6,2,59,42,127,40,23,34
Methylovirgula,10,25,7,2,2,0,76,52,79,17,36,61
Paracoccus,60,4,1,19,4,3,26,25,74,8,123,19
Acidothermus,9,3,4,2,0,0,77,77,76,22,16,74
Porphyrobacter,17,5,4,8,2,0,66,68,72,18,21,72
Serratia,4,2,2,37,46,1,43,61,70,6,21,51
Flavihumibacter,1,4,3,3,4,0,107,87,16,14,10,77
Mucilaginibacter,5,5,2,7,2,0,68,60,116,14,6,40
Microbacterium,21,2,10,11,7,6,58,67,50,12,48,29
Lysobacter,2,1,0,0,0,0,7,7,6,80,170,13
Lacihabitans,0,2,1,62,148,5,13,10,31,0,2,10
Niastella,5,2,0,6,2,1,105,85,6,2,1,61
Sediminibacterium,2,0,7,29,8,1,72,65,18,4,12,53
Altererythrobacter,26,6,2,3,5,7,49,61,7,3,55,44
Luteimonas,3,2,0,21,9,2,17,20,15,9,150,20
Conexibacter,10,1,0,3,5,0,58,52,53,17,23,44
Pedomicrobium,15,6,25,46,28,11,32,26,9,7,29,23
Hyphomicrobium,25,12,15,30,18,4,39,39,6,12,9,46
Metallibacterium,8,3,4,2,3,0,45,32,113,2,4,32
Actinoplanes,34,5,9,49,13,0,24,15,2,15,68,12
Phycicoccus,51,13,4,13,36,3,31,24,14,6,25,26
Propionicimonas,3,0,0,0,4,1,37,35,5,42,102,6
Desulfobulbus,17,2,14,13,30,34,11,9,0,15,68,11
Pelomonas,1,1,2,4,2,2,48,28,30,7,51,40
Sulfuricurvum,0,0,0,0,0,0,74,58,3,1,14,64
Lacibacter,5,2,10,8,92,51,10,2,1,7,10,5
Massilia,31,2,4,8,6,3,39,48,17,4,8,32
Ensifer,47,11,3,9,13,1,13,8,62,3,17,14
Melioribacter,6,8,5,0,1,1,41,35,40,10,14,37
Haematobacter,3,3,1,1,1,4,30,27,15,52,33,27
Aquicella,12,1,1,1,4,3,39,33,23,19,17,38
Prosthecomicrobium,11,11,16,20,43,12,13,9,16,11,19,5
Rhodobacter,8,6,6,31,11,8,17,11,42,8,19,11
Brevundimonas,87,10,3,3,0,0,4,6,27,7,26,4
Sporichthya,0,3,0,3,1,0,53,38,19,14,18,28
Flavobacterium,38,5,3,19,17,8,13,9,40,4,8,11
Neochlamydia,1,1,1,1,3,0,37,29,12,24,37,29
Ancalomicrobium,3,3,2,2,23,2,23,25,3,40,31,17
Rhizobacter,1,4,3,5,11,17,50,29,16,0,6,32
Bacillus,7,2,1,1,64,0,23,24,16,7,6,22
Clostridium_sensu_stricto,6,0,4,1,4,13,43,33,16,8,14,30
Phaeospirillum,8,13,5,1,1,2,40,45,12,3,8,32
Aminobacter,4,5,22,9,10,3,39,26,13,3,8,25
Rhodoplanes,13,1,9,4,17,3,20,27,18,7,17,29
Aquabacterium,7,6,4,21,4,4,25,15,11,12,28,26
Tolumonas,3,6,2,0,2,2,40,46,13,1,3,45
Duganella,2,0,4,10,2,3,53,31,8,0,0,36
Dyella,2,19,0,0,0,0,10,19,35,13,33,17
Achromobacter,0,0,0,0,0,4,3,3,129,4,1,2
Pandoraea,0,4,5,6,4,0,29,17,4,0,64,10
Nakamurella,7,1,3,3,6,0,29,23,14,4,16,34
Methylosinus,2,5,2,0,2,1,36,23,13,11,12,29
Aquincola,9,9,4,10,21,13,15,19,9,1,9,14
Mangrovibacterium,3,7,1,2,9,5,8,11,1,29,46,10
Rubrivivax,1,2,10,66,6,6,7,5,16,5,5,3
Curvibacter,6,12,5,16,7,0,23,27,11,1,4,16
Stenotrophomonas,1,6,2,0,0,0,22,39,21,3,4,27
Salinibacterium,7,2,1,0,2,0,25,15,41,2,7,16
Magnetospirillum,9,1,4,4,14,20,11,17,7,2,6,22
Thermomonas,3,1,1,1,3,0,23,19,18,6,21,21
Bosea,32,3,2,2,8,0,4,7,30,4,13,10
Niveispirillum,7,3,12,4,57,25,1,1,0,1,0,3
Azospira,1,4,0,1,1,1,26,17,32,0,2,26
Cystobacter,1,1,0,0,0,0,20,20,16,2,16,25
Dokdonella,0,2,1,3,2,1,24,20,12,0,3,29
Bauldia,5,3,5,8,0,2,24,18,8,2,6,13
Nitrospira,0,0,1,0,1,0,25,38,5,1,0,23
Comamonas,5,4,0,4,3,0,18,13,5,9,10,21
Hylemonella,0,0,0,0,0,0,0,0,86,2,0,0
Jatrophihabitans,0,3,0,1,1,0,13,14,8,13,10,24
Silanimonas,2,4,0,0,2,0,13,15,25,5,7,12
Steroidobacter,1,0,7,2,1,2,15,18,19,0,5,13
Terrabacter,3,0,0,0,3,4,26,9,12,6,6,13
Arenimonas,4,1,1,19,5,1,16,22,1,0,2,9
Chitinimonas,1,0,0,1,0,6,1,0,65,4,1,0
Sphingopyxis,10,1,0,3,1,0,6,5,40,7,2,3
Aquaspirillum,0,2,0,0,3,3,14,18,22,4,1,6
Ralstonia,2,3,1,1,2,1,24,8,18,5,4,4
Escherichia/Shigella,0,0,0,0,0,0,25,20,2,2,0,21
Amaricoccus,0,0,0,0,1,0,15,15,10,1,12,14
Byssovorax,0,0,2,7,6,0,22,9,0,11,2,7
Corallococcus,1,0,1,8,1,0,16,22,8,1,0,8
Leeia,1,0,0,1,0,0,23,16,6,0,0,18
Chitinophaga,0,6,0,5,3,0,9,18,10,0,2,10
Limnobacter,2,2,0,0,2,0,6,4,37,0,1,9
Mycobacterium,1,3,2,2,9,3,10,7,9,1,7,9
Sporobacter,2,12,2,1,11,7,4,6,2,4,9,3
Brucella,3,4,1,0,4,0,7,7,20,3,7,4
Halothiobacillus,7,12,0,1,0,0,7,1,2,5,19,1
Modestobacter,0,5,3,3,0,3,8,5,10,4,3,10
Kocuria,3,0,0,1,0,0,2,1,2,0,43,1
Leifsonia,2,0,0,0,1,1,4,7,7,19,7,5
Pelotomaculum,6,7,1,0,1,0,10,8,9,4,2,4
Solirubrobacter,0,0,0,0,0,0,18,13,3,0,5,12
Vasilyevaea,5,1,5,12,4,0,8,7,3,0,1,5
Alsobacter,4,1,2,6,1,1,9,7,2,0,9,8
Cryobacterium,0,2,0,0,0,0,19,12,3,3,4,7
Gimesia,0,0,0,0,0,0,0,49,0,0,0,0
Kinneretia,0,0,1,16,3,2,2,5,14,0,0,6
Ferrovum,0,1,1,1,0,0,6,13,17,1,0,8
Methylophilus,1,1,3,4,12,5,5,6,6,1,0,4
Turneriella,2,0,0,0,2,5,8,6,0,5,12,7
Beijerinckia,0,2,3,2,5,4,10,5,5,0,5,5
Pirellula,0,0,0,0,0,0,0,46,0,0,0,0
Roseomonas,1,0,0,4,2,0,7,6,2,9,9,4
Methyloversatilis,2,2,0,1,18,7,3,5,2,0,1,2
Oxalicibacterium,0,1,4,4,8,13,1,1,8,0,1,2
Paludibacter,1,1,2,0,9,3,5,6,0,3,2,11
Ramlibacter,0,3,5,6,0,2,5,9,3,3,3,4
Gallionella,0,1,0,1,1,0,11,9,9,0,2,7
Phreatobacter,0,1,1,0,29,8,1,0,0,0,1,0
Phyllobacterium,1,1,1,2,0,0,10,5,5,2,4,9
Parachlamydia,1,0,0,1,1,1,13,5,1,2,6,8
Herbaspirillum,0,0,1,1,1,0,8,6,13,2,0,5
Sterolibacterium,4,0,0,0,0,0,13,6,2,1,0,11
Thauera,0,0,0,0,0,0,5,3,6,17,4,1
Georgfuchsia,1,5,5,1,0,0,7,2,4,3,3,4
Actinomadura,1,0,0,5,2,0,7,7,3,1,4,4
Erythrobacter,0,0,0,0,1,9,4,1,15,1,1,2
Aciditerrimonas,0,0,0,0,0,0,9,6,6,0,3,9
Ancylobacter,12,3,1,4,4,3,4,0,1,0,0,0
Methylocella,1,0,0,1,1,0,6,4,7,4,1,7
Planctopirus,0,0,0,0,0,0,0,32,0,0,0,0
Curtobacterium,0,0,0,0,1,0,5,10,6,1,2,6
Sandaracinus,0,0,0,1,3,0,11,3,2,0,1,10
Blastomonas,0,0,0,1,0,0,0,0,28,0,1,0
Sporomusa,0,0,0,0,1,0,0,29,0,0,0,0
Carboxylicivirga,0,0,0,0,0,0,0,0,0,2,25,2
Yersinia,18,2,1,0,4,1,1,1,1,0,0,0
Planococcus,1,0,0,0,0,0,7,5,7,0,6,2
Xanthobacter,1,1,0,1,14,3,5,0,1,0,1,1
Leptothrix,2,0,0,2,5,0,5,1,1,1,1,9
Intrasporangium,1,1,1,1,4,0,7,2,1,0,2,6
Labilithrix,0,0,1,2,0,0,16,2,0,0,0,4
Aquisphaera,0,0,0,0,0,0,0,23,1,0,0,0
Methylobacterium,1,0,0,0,0,0,5,4,4,2,2,6
Telmatospirillum,1,1,1,0,0,0,2,5,4,0,2,8
Zoogloea,1,1,0,0,2,0,10,7,2,0,0,1
Ottowia,0,2,1,0,2,1,7,3,3,0,0,4
Jeotgalibacillus,1,0,0,0,0,0,2,5,12,0,0,2
Desulfovirga,2,0,0,0,4,9,1,0,0,1,2,1
Pseudogulbenkiania,11,2,0,0,2,0,1,0,1,0,2,1
Pseudonocardia,0,0,0,0,0,0,7,1,3,1,5,2
Psychrosinus,0,0,0,0,11,6,0,0,0,1,1,0
Alcaligenes,0,0,0,0,0,0,1,9,2,2,2,2
Catenulispora,0,0,0,0,0,0,8,2,5,1,0,2
Emticicia,0,0,4,0,10,3,1,0,0,0,0,0
Nevskia,0,0,0,1,0,0,11,3,0,1,1,1
Anaerovorax,0,1,0,0,2,0,4,0,2,3,4,1
Cellvibrio,0,0,0,1,1,0,2,1,8,3,1,0
Kineosporia,0,0,1,3,1,0,3,2,0,1,3,3
Paenibacillus,0,0,0,2,1,0,4,4,5,0,1,0
Anaerosolibacter,0,0,0,0,0,0,8,4,0,0,0,4
Simkania,1,0,0,0,0,0,1,3,7,0,2,2
Dysgonomonas,0,0,0,0,0,0,4,10,0,0,0,1
Labedella,1,0,0,2,0,0,4,1,0,0,4,3
Lewinella,0,1,0,7,0,0,1,0,0,0,4,2
Singulisphaera,0,0,0,0,0,0,0,15,0,0,0,0
Alicyclobacillus,0,0,0,0,1,0,5,2,0,0,3,3
Blastococcus,3,1,0,0,2,1,4,0,0,0,0,3
Desulfonatronobacter,2,2,3,0,4,3,0,0,0,0,0,0
Angustibacter,0,0,2,0,0,0,2,0,1,3,5,0
Oscillochloris,0,0,0,0,0,0,4,0,0,5,4,0
Tetrasphaera,0,0,3,0,0,0,1,2,5,1,1,0
Formivibrio,0,0,0,0,0,0,1,3,1,3,4,0
Lacibacterium,3,1,1,0,0,0,4,3,0,0,0,0
Macrococcus,0,0,0,0,1,0,1,5,2,0,0,3
Moraxella,0,0,0,0,0,0,0,6,1,2,1,2
Parvibaculum,0,0,0,0,0,0,5,3,0,0,0,4
Pseudobacteroides,0,5,0,0,0,0,0,4,2,0,0,1
Variovorax,0,1,0,2,2,0,1,3,0,1,2,0
Azonexus,0,0,0,0,0,1,3,1,0,4,0,2
Pseudacidovorax,0,0,1,0,0,0,1,0,3,0,6,0
Sinomonas,0,0,0,0,0,0,1,2,3,1,0,4
Austwickia,0,0,0,0,2,0,4,3,0,0,0,1
Desulfomonile,0,0,2,0,0,0,4,2,0,1,0,1
Hyphomonas,0,0,0,2,0,0,3,0,0,3,0,2
Aquihabitans,0,0,0,1,3,0,0,0,0,3,1,1
Chromobacterium,0,1,0,0,0,0,4,1,0,1,2,0
Fluviicola,1,0,0,0,1,1,1,1,0,0,4,0
Kofleria,0,0,0,0,0,0,3,0,3,0,1,2
Methylobacillus,1,0,2,1,1,0,3,0,0,0,0,1
Nesterenkonia,0,0,0,0,0,0,6,0,0,0,2,1
Prolixibacter,0,0,0,0,0,0,5,3,0,1,0,0
Treponema,0,0,0,0,0,0,0,0,1,3,5,0
Azohydromonas,0,0,0,0,0,0,3,1,0,0,2,2
Ferrovibrio,0,0,0,1,0,0,0,1,0,0,6,0
Methylocapsa,0,0,0,0,1,0,3,0,1,0,2,1
Parasegetibacter,0,0,0,4,0,1,0,0,1,2,0,0
Sulfurisoma,0,0,0,1,0,0,3,3,0,0,1,0
Acidiphilium,0,1,0,0,1,0,3,0,0,0,0,2
Alkanindiges,0,0,0,0,0,0,2,3,1,1,0,0
Chlorobium,0,0,0,0,0,0,0,3,2,0,1,1
Fimbriimonas,0,0,0,0,0,0,1,2,1,0,1,2
Kaistia,0,0,0,0,0,0,3,2,1,0,1,0
Pedobacter,0,0,0,0,1,0,0,1,1,1,0,3
Stigmatella,1,0,0,0,0,0,3,1,0,1,0,1
Actinoallomurus,1,0,0,0,0,0,3,1,0,0,0,1
Cloacibacterium,0,0,0,0,0,0,2,0,2,1,1,0
Halomonas,0,0,0,0,0,0,1,0,2,0,1,2
Janthinobacterium,0,0,1,0,0,0,4,1,0,0,0,0
Kribbella,0,0,0,0,0,0,2,1,1,0,2,0
Oligoflexus,3,0,0,0,1,0,0,1,0,0,0,1
Sporosarcina,0,0,0,0,0,0,5,1,0,0,0,0
Sunxiuqinia,0,0,0,0,0,0,2,0,0,4,0,0
Fibrobacter,0,0,0,0,0,0,3,1,0,0,0,1
Giesbergeria,0,1,0,0,0,0,1,0,2,0,1,0
Methylocystis,0,1,0,0,0,0,0,0,1,0,2,1
Papillibacter,0,0,0,0,0,0,1,1,0,1,1,1
Renibacterium,0,0,0,0,0,0,0,1,0,0,4,0
Rhodocyclus,0,0,0,1,0,2,0,0,0,1,1,0
Rhodopseudomonas,0,0,0,0,0,0,1,0,2,0,1,1
Solitalea,0,0,0,0,0,0,2,2,0,1,0,0
Aeromicrobium,0,0,0,0,0,0,0,0,4,0,0,0
Aureimonas,0,0,0,1,0,0,0,0,1,0,2,0
Clostridium_XlVa,0,0,0,0,1,0,0,0,0,2,1,0
Constrictibacter,0,0,0,1,2,1,0,0,0,0,0,0
Fluviimonas,1,0,0,0,0,0,2,1,0,0,0,0
Herbiconiux,1,0,0,0,1,0,0,0,1,0,1,0
Herminiimonas,0,0,0,0,0,0,2,2,0,0,0,0
Jahnella,0,0,0,0,0,0,2,1,0,1,0,0
Labrys,2,0,0,0,0,0,2,0,0,0,0,0
Pseudoxanthomonas,3,0,1,0,0,0,0,0,0,0,0,0
Rhodomicrobium,4,0,0,0,0,0,0,0,0,0,0,0
Rhodopila,0,0,0,0,0,0,0,1,0,1,0,2
Tumebacillus,0,0,0,0,0,0,2,0,2,0,0,0
Virgibacillus,0,0,0,0,0,0,0,0,4,0,0,0
Agrococcus,0,0,0,0,0,0,0,0,0,0,0,3
Agromyces,0,0,0,0,0,0,0,1,0,0,1,1
Amycolatopsis,1,0,0,0,0,0,0,1,0,0,1,0
Buchnera,0,0,0,0,0,0,0,0,0,0,1,2
Crocinitomix,1,0,0,0,1,0,1,0,0,0,0,0
Cupriavidus,0,0,0,0,0,0,2,0,0,0,1,0
Flectobacillus,0,0,0,2,0,0,1,0,0,0,0,0
Geodermatophilus,0,0,0,0,0,0,1,0,0,0,2,0
Leucobacter,0,0,0,1,0,0,0,2,0,0,0,0
Marmoricola,0,0,0,0,0,0,0,0,2,0,0,1
Microvirgula,0,0,0,0,0,0,2,0,0,0,0,1
Neorhizobium,0,0,0,1,0,0,0,0,1,0,0,1
Oryzihumus,1,0,0,0,0,0,0,1,0,0,0,1
Peredibacter,1,0,0,0,0,0,0,0,2,0,0,0
Romboutsia,0,0,0,0,0,0,3,0,0,0,0,0
Streptacidiphilus,0,0,0,0,0,0,0,3,0,0,0,0
Thioprofundum,0,0,1,0,0,0,0,0,0,0,0,2
Uliginosibacterium,0,0,0,0,0,0,1,0,1,0,0,1
Vulgatibacter,0,0,0,0,0,0,1,1,0,1,0,0
Acetobacteroides,0,0,0,0,0,0,0,0,0,1,1,0
Aquabacter,2,0,0,0,0,0,0,0,0,0,0,0
Belnapia,0,0,0,0,0,0,0,0,1,0,1,0
Cohnella,0,0,0,0,0,0,2,0,0,0,0,0
Diaminobutyricibacter,0,0,0,0,0,0,0,1,0,0,1,0
Domibacillus,0,1,0,0,0,0,0,0,0,0,0,1
Dyadobacter,0,0,0,0,0,0,0,1,1,0,0,0
Gordonia,0,0,0,0,0,0,1,0,1,0,0,0
Gracilibacter,0,0,0,0,0,0,2,0,0,0,0,0
Kutzneria,0,1,1,0,0,0,0,0,0,0,0,0
Lysinibacillus,0,0,0,0,0,0,0,2,0,0,0,0
Microvirga,0,0,0,0,0,0,0,1,0,0,0,1
Nitriliruptor,0,0,0,0,0,0,1,0,0,0,0,1
Pelagibius,0,0,0,0,0,0,0,1,0,1,0,0
Polynucleobacter,1,0,0,0,0,0,0,0,0,0,0,1
Rubellimicrobium,0,2,0,0,0,0,0,0,0,0,0,0
Skermanella,0,0,0,0,0,0,1,0,0,1,0,0
Sphingobacterium,0,0,0,0,0,0,0,0,1,0,1,0
Sulfuricella,0,0,1,0,0,0,1,0,0,0,0,0
Truepera,0,0,0,0,0,0,0,2,0,0,0,0
Variibacter,0,0,0,0,0,0,0,1,0,0,0,1
Acidicaldus,0,0,0,0,0,0,0,0,1,0,0,0
Acidithiobacillus,0,0,0,0,1,0,0,0,0,0,0,0
Acidocella,0,1,0,0,0,0,0,0,0,0,0,0
Actinomyces,0,0,0,0,0,0,0,0,1,0,0,0
Advenella,0,0,0,0,0,0,0,0,0,0,0,1
Ammoniphilus,0,0,0,0,0,0,0,0,1,0,0,0
Amnibacterium,0,0,0,0,0,0,0,0,0,0,0,1
Angiococcus,0,0,0,0,0,0,0,0,0,1,0,0
Bdellovibrio,0,0,0,0,0,0,0,1,0,0,0,0
Chryseoglobus,0,1,0,0,0,0,0,0,0,0,0,0
Clavibacter,0,0,0,0,0,0,0,1,0,0,0,0
Desulfosalsimonas,0,0,0,0,1,0,0,0,0,0,0,0
Falsibacillus,0,0,0,0,0,0,1,0,0,0,0,0
Kitasatospora,0,0,0,0,0,0,1,0,0,0,0,0
Leptospirillum,0,0,0,0,0,0,1,0,0,0,0,0
Micromonospora,0,0,0,0,0,0,0,0,1,0,0,0
Nisaea,0,0,0,0,0,0,1,0,0,0,0,0
Nitrosomonas,0,0,0,0,0,0,0,1,0,0,0,0
Parafilimonas,0,0,0,0,0,0,1,0,0,0,0,0
Paralcaligenes,0,0,0,0,0,0,0,0,0,0,0,1
Polaromonas,0,1,0,0,0,0,0,0,0,0,0,0
Pseudoduganella,0,0,0,0,0,0,0,0,1,0,0,0
Riemerella,0,0,0,0,0,0,1,0,0,0,0,0
Solibacillus,0,0,0,0,0,0,0,0,0,0,0,1
Stella,0,0,0,0,0,0,0,1,0,0,0,0
Tangfeifania,0,0,0,0,0,0,0,0,0,0,1,0
Turicibacter,0,0,0,0,0,0,0,0,0,1,0,0
Williamsia,0,0,0,0,0,0,0,1,0,0,0,0
